990,swedish power metal
991,ambient pop
992,korean ost
993,garage psych
994,vapor pop
995,mexican rock-and-roll
996,alabama rap
997,trap venezolano
998,czech rock
999,brazilian indie
1000,folk punk
